Date;Time;Routine;Exercise;Set;Weight;Reps;Duration;Distance;Para6;Para7;Para8;Para9;Para10;Note;Type;Book;Version1
28.04.2025;11:14:46;A;Agachamento Búlgaro;2;8.0;8.0;;;81.0;81.0;;;;;1;1;1
28.04.2025;11:21:10;A;Agachamento Búlgaro;3;8.0;16.0;;;;;;;;;1;1;1
28.04.2025;11:21:43;A;Lombar Banco Dorsal;1;0.0;15.0;;;117.0;117.0;;;;;1;1;1
28.04.2025;11:23:48;A;Lombar Banco Dorsal;2;0.0;12.0;;;126.0;126.0;;;;;1;1;1
28.04.2025;11:25:25;A;Lombar Banco Dorsal;3;0.0;15.0;;;123.0;123.0;;;;;1;1;1
28.04.2025;11:26:03;A;Mobilidade de Inferiores;1;0.0;15.0;;;90.0;99.0;;;;;1;1;1
28.04.2025;11:26:16;A;Mobilidade de Inferiores;2;0.0;15.0;;;94.0;99.0;;;;;1;1;1
28.04.2025;11:27:15;A;Mobilidade de Inferiores;3;0.0;15.0;;;;;;;;;1;1;1
05.05.2025;09:48:28;A;Leg Press 45 graus;1;15.0;15.0;;;113.0;113.0;;;;;1;1;1
05.05.2025;09:50:31;A;Leg Press 45 graus;2;15.0;15.0;;;124.0;133.0;;;;;1;1;1
05.05.2025;09:52:35;A;Leg Press 45 graus;3;15.0;15.0;;;135.0;135.0;;;;;1;1;1
05.05.2025;09:54:58;A;Leg Press 45 graus;4;15.0;15.0;;;136.0;136.0;;;;;1;1;1
05.05.2025;10:00:06;A;Agachamento Sumo;1;16.0;12.0;;;;;;;;;1;1;1
05.05.2025;10:02:07;A;Agachamento Sumo;2;16.0;10.0;;;130.0;135.0;;;;;1;1;1
05.05.2025;10:04:05;A;Agachamento Sumo;3;16.0;8.0;;;141.0;141.0;;;;;1;1;1
05.05.2025;10:05:38;A;Agachamento Sumo;4;16.0;6.0;;;;;;;;;1;1;1
05.05.2025;10:07:53;A;Abdução na Máquina (sentado);1;32.0;15.0;;;124.0;139.0;;;;;1;1;1
05.05.2025;10:09:44;A;Abdução na Máquina (sentado);2;32.0;15.0;;;118.0;124.0;;;;;1;1;1
05.05.2025;10:12:11;A;Abdução na Máquina (sentado);3;32.0;15.0;;;123.0;123.0;;;;;1;1;1
05.05.2025;10:13:45;A;Abdução na Máquina (sentado);4;32.0;15.0;;;123.0;123.0;;;;;1;1;1
05.05.2025;10:15:26;A;Mobilidade de Inferiores;1;0.0;15.0;;;123.0;123.0;;;;;1;1;1
05.05.2025;10:16:00;A;Mobilidade de Inferiores;2;0.0;15.0;;;123.0;123.0;;;;;1;1;1
05.05.2025;10:19:03;A;Agachamento Búlgaro;1;0.0;9.0;;;123.0;123.0;;;;;1;1;1
05.05.2025;10:21:49;A;Agachamento Búlgaro;2;0.0;8.0;;;67.0;67.0;;;;;1;1;1
05.05.2025;10:24:18;A;Agachamento Búlgaro;3;8.0;16.0;;;99.0;131.0;;;;;1;1;1
05.05.2025;10:26:32;A;Mobilidade de Inferiores;3;0.0;15.0;;;128.0;128.0;;;;;1;1;1
05.05.2025;10:29:48;A;Elevação Pélvica;1;10.0;10.0;;;119.0;124.0;;;;;1;1;1
05.05.2025;10:31:33;A;Elevação Pélvica;2;10.0;10.0;;;134.0;143.0;;;;;1;1;1
05.05.2025;10:36:02;A;Elevação Pélvica;3;10.0;10.0;;;126.0;143.0;;;;;1;1;1
05.05.2025;10:37:54;A;Elevação Pélvica;4;10.0;10.0;;;133.0;136.0;;;;;1;1;1
05.05.2025;10:40:37;A;Elevação Pélvica;5;10.0;10.0;;;117.0;139.0;;;;;1;1;1
05.05.2025;10:43:21;A;Mesa Flexora (deitado);1;18.0;8.0;;;113.0;119.0;;;;;1;1;1
05.05.2025;10:45:02;A;Mesa Flexora (deitado);2;18.0;8.0;;;103.0;109.0;;;;;1;1;1
05.05.2025;10:47:02;A;Mesa Flexora (deitado);3;18.0;8.0;;;113.0;117.0;;;;;1;1;1
05.05.2025;10:51:49;A;Lombar Banco Dorsal;1;0.0;15.0;;;120.0;122.0;;;;;1;1;1
05.05.2025;10:54:18;A;Lombar Banco Dorsal;2;0.0;12.0;;;128.0;130.0;;;;;1;1;1
05.05.2025;10:57:03;A;Lombar Banco Dorsal;3;0.0;15.0;;;;;;;;;1;1;1
07.05.2025;09:58:28;B;Puxada frontal (aberta);1;40.0;15.0;;;134.0;159.0;;;;;1;1;1
07.05.2025;10:00:25;B;Puxada frontal (aberta);2;40.0;15.0;;;97.0;97.0;;;;;1;1;1
07.05.2025;10:02:29;B;Puxada frontal (aberta);3;40.0;15.0;;;122.0;132.0;;;;;1;1;1
07.05.2025;10:04:24;B;Puxada frontal (aberta);4;40.0;15.0;;;121.0;129.0;;;;;1;1;1
07.05.2025;10:07:06;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);1;40.0;10.0;;;122.0;132.0;;;;;1;1;1
07.05.2025;10:08:53;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);2;40.0;10.0;;;124.0;135.0;;;;;1;1;1
07.05.2025;10:11:38;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);3;40.0;10.0;;;122.0;135.0;;;;;1;1;1
07.05.2025;10:13:17;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);4;40.0;10.0;;;134.0;134.0;;;;;1;1;1
07.05.2025;10:18:54;B;Remada Cavalo Fechada;1;20.0;15.0;;;;;;;;;1;1;1
07.05.2025;10:20:44;B;Remada Cavalo Fechada;2;20.0;12.0;;;109.0;109.0;;;;;1;1;1
07.05.2025;10:23:08;B;Remada Cavalo Fechada;3;20.0;12.0;;;109.0;109.0;;;;;1;1;1
07.05.2025;10:27:55;B;Remada Cavalo Fechada;4;20.0;10.0;;;117.0;122.0;;;;;1;1;1
07.05.2025;10:33:09;B;Remada Serrote Unilateral (Máquina);1;9.0;10.0;;;109.0;109.0;;;;;1;1;1
07.05.2025;10:36:00;B;Remada Serrote Unilateral (Máquina);2;9.0;10.0;;;109.0;109.0;;;;;1;1;1
07.05.2025;10:38:32;B;Remada Serrote Unilateral (Máquina);3;9.0;10.0;;;109.0;109.0;;;;;1;1;1
07.05.2025;10:41:36;B;Rosca Direta com Barra (em pé);1;15.0;10.0;;;;;;;;;1;1;1
07.05.2025;10:43:47;B;Rosca Direta com Barra (em pé);2;15.0;12.0;;;;;;;;;1;1;1
07.05.2025;10:46:57;B;Rosca Direta com Barra (em pé);3;15.0;12.0;;;;;;;;;1;1;1
07.05.2025;10:49:14;B;Rosca direta com barra W/EZ;1;18.0;10.0;;;123.0;123.0;;;;;1;1;1
07.05.2025;10:51:32;B;Rosca direta com barra W/EZ;2;18.0;8.0;;;57.0;57.0;;;;;1;1;1
07.05.2025;10:54:30;B;Rosca direta com barra W/EZ;3;18.0;8.0;;;;;;;;;1;1;1
07.05.2025;10:56:34;B;Crucifixo inverso na máquina (sentado);1;32.0;12.0;;;57.0;57.0;;;;;1;1;1
07.05.2025;10:58:13;B;Crucifixo inverso na máquina (sentado);2;32.0;12.0;;;57.0;57.0;;;;;1;1;1
07.05.2025;11:00:43;B;Crucifixo inverso na máquina (sentado);3;32.0;10.0;;;;;;;;;1;1;1
08.05.2025;10:20:53;C;Leg Press 45 graus;1;20.0;12.0;;;103.0;103.0;;;;;1;1;1
08.05.2025;10:22:32;C;Leg Press 45 graus;2;20.0;10.0;;;122.0;122.0;;;;;1;1;1
08.05.2025;10:24:55;C;Leg Press 45 graus;3;20.0;8.0;;;53.0;53.0;;;;;1;1;1
08.05.2025;10:26:51;C;Cadeira extensora;1;27.0;10.0;;;117.0;117.0;;;;;1;1;1
08.05.2025;10:28:26;C;Cadeira extensora;2;27.0;10.0;;;130.0;130.0;;;;;1;1;1
08.05.2025;10:29:54;C;Cadeira extensora;3;27.0;10.0;;;54.0;54.0;;;;;1;1;1
08.05.2025;10:33:13;C;Agachamento Sumô;1;14.0;15.0;;;131.0;141.0;;;;;1;1;1
08.05.2025;10:35:38;C;Agachamento Sumô;2;14.0;15.0;;;120.0;120.0;;;;;1;1;1
08.05.2025;10:37:42;C;Agachamento Sumô;3;14.0;15.0;;;120.0;120.0;;;;;1;1;1
08.05.2025;10:40:16;C;Agachamento Sumô;4;14.0;15.0;;;120.0;120.0;;;;;1;1;1
08.05.2025;10:46:22;C;Afundo 3x8 (cada lado);1;0.0;8.0;;;;;;;;;1;1;1
08.05.2025;10:48:25;C;Afundo 3x8 (cada lado);2;0.0;8.0;;;142.0;142.0;;;;;1;1;1
08.05.2025;10:51:48;C;Afundo 3x8 (cada lado);3;0.0;8.0;;;50.0;50.0;;;;;1;1;1
08.05.2025;10:54:00;C;Elevação de panturrilha na máquina (em pé);1;15.0;12.0;;;;;;;;;1;1;1
08.05.2025;10:54:14;C;Elevação de panturrilha na máquina (sentado);1;20.0;15.0;;;114.0;114.0;;;;;1;1;1
08.05.2025;10:56:02;C;Elevação de panturrilha na máquina (sentado);2;20.0;15.0;;;125.0;141.0;;;;;1;1;1
08.05.2025;10:57:54;C;Elevação de panturrilha na máquina (sentado);3;20.0;15.0;;;120.0;135.0;;;;;1;1;1
08.05.2025;11:04:06;C;Elevação de panturrilha na máquina (em pé);2;15.0;12.0;;;111.0;125.0;;;;;1;1;1
08.05.2025;11:05:50;C;Elevação de panturrilha na máquina (em pé);3;15.0;12.0;;;117.0;130.0;;;;;1;1;1
08.05.2025;11:08:41;C;Prancha (apoio nos antebraços);1;0.0;8.0;;;108.0;116.0;;;;;1;1;1
